       1992031.9   1.2052686e-11
       1984063.7   1.2123425e-11
       1976095.6   1.7599353e-11
       1968127.5   1.9766250e-11
       1960159.4   2.2734514e-11
       1952191.2   2.6936604e-11
       1944223.1   3.2555403e-11
       1936255.0   3.9734138e-11
       1928286.9   4.8432960e-11
       1920318.7   5.8940935e-11
       1912350.6   7.1587838e-11
       1904382.5   8.6734529e-11
       1896414.3   1.0477297e-10
       1888446.2   1.2611452e-10
       1880478.1   1.5110233e-10
       1872510.0   1.8005842e-10
       1864541.8   2.1318774e-10
       1856573.7   2.5001810e-10
       1848605.6   2.9023260e-10
       1840637.5   3.3268815e-10
       1832669.3   3.7203461e-10
       1824701.2   4.0785624e-10
       1816733.1   4.4046070e-10
       1808764.9   4.7493527e-10
       1800796.8   5.1112684e-10
       1792828.7   5.4834713e-10
       1784860.6   5.8606671e-10
       1776892.4   6.2381984e-10
       1768924.3   6.5763019e-10
       1760956.2   6.8783609e-10
       1752988.0   7.1476152e-10
       1745019.9   7.4287178e-10
       1737051.8   7.7222489e-10
       1729083.7   8.0288207e-10
       1721115.5   8.3490789e-10
       1713147.4   8.6837053e-10
       1705179.3   9.0334200e-10
       1697211.2   9.3989843e-10
       1689243.0   9.7812036e-10
       1681274.9   1.0180931e-09
       1673306.8   1.0599072e-09
       1665338.6   1.1036588e-09
       1657370.5   1.1494504e-09
       1649402.4   1.1973912e-09
       1641434.3   1.2475984e-09
       1633466.1   1.3001987e-09
       1625498.0   1.3553269e-09
       1617529.9   1.4131333e-09
       1609561.8   1.4737837e-09
       1601593.6   1.5374457e-09
       1593625.5   1.6043431e-09
       1585657.4   1.6747151e-09
       1577689.2   1.7487193e-09
       1569721.1   1.8264612e-09
       1561753.0   1.9080343e-09
       1553784.9   1.9936305e-09
       1545816.7   2.0834419e-09
       1537848.6   2.1776653e-09
       1529880.5   2.2764989e-09
       1521912.4   2.3800980e-09
       1513944.2   2.4886548e-09
       1505976.1   2.6023354e-09
       1498008.0   2.7209957e-09
       1490039.8   2.8450074e-09
       1482071.7   2.9748197e-09
       1474103.6   3.1112995e-09
       1466135.5   3.2548250e-09
       1458167.3   3.4057970e-09
       1450199.2   3.5646394e-09
       1442231.1   3.7318010e-09
       1434262.9   3.9077545e-09
       1426294.8   4.0929987e-09
       1418326.7   4.2880574e-09
       1410358.6   4.4934748e-09
       1402390.4   4.7098219e-09
       1394422.3   4.9376891e-09
       1386454.2   5.1776469e-09
       1378486.1   5.4303305e-09
       1370517.9   5.6963393e-09
       1362549.8   5.9760110e-09
       1354581.7   6.2702460e-09
       1346613.5   6.5800892e-09
       1338645.4   6.9070013e-09
       1330677.3   7.2519441e-09
       1322709.2   7.6159157e-09
       1314741.0   7.9999105e-09
       1306772.9   8.4049210e-09
       1298804.8   8.8319747e-09
       1290836.7   9.2818398e-09
       1282868.5   9.7552806e-09
       1274900.4   1.0253297e-08
       1266932.3   1.0774852e-08
       1258964.1   1.1320413e-08
       1250996.0   1.1892100e-08
       1243027.9   1.2494694e-08
       1235059.8   1.3131867e-08
       1227091.6   1.3805788e-08
       1219123.5   1.4518758e-08
       1211155.4   1.5273185e-08
       1203187.3   1.6071624e-08
       1195219.1   1.6916772e-08
       1187251.0   1.7811256e-08
       1179282.9   1.8758016e-08
       1171314.7   1.9760115e-08
       1163346.6   2.0819201e-08
       1155378.5   2.1939491e-08
       1147410.4   2.3125649e-08
       1139442.2   2.4384627e-08
       1131474.1   2.5721334e-08
       1123506.0   2.7140989e-08
       1115537.8   2.8649136e-08
       1107569.7   3.0251665e-08
       1099601.6   3.1954719e-08
       1091633.5   3.3764727e-08
       1083665.3   3.5688519e-08
       1075697.2   3.7732533e-08
       1067729.1   3.9903563e-08
       1059761.0   4.2209399e-08
       1051792.8   4.4652541e-08
       1043824.7   4.7240219e-08
       1035856.6   4.9984309e-08
       1027888.4   5.2904505e-08
       1019920.3   5.6017735e-08
       1011952.2   5.9337327e-08
       1003984.1   6.2877410e-08
       996015.94   6.6653111e-08
       988047.81   7.0678383e-08
       980079.68   7.4969122e-08
       972111.55   7.9543132e-08
       964143.43   8.4403678e-08
       956175.30   8.9574371e-08
       948207.17   9.5080100e-08
       940239.04   1.0096542e-07
       932270.92   1.0725647e-07
       924302.79   1.1398085e-07
       916334.66   1.2116379e-07
       908366.53   1.2883092e-07
       900398.41   1.3701300e-07
       892430.28   1.4571357e-07
       884462.15   1.5495259e-07
       876494.02   1.6478232e-07
       868525.90   1.7529477e-07
       860557.77   1.8657585e-07
       852589.64   1.9868772e-07
       844621.51   2.1169437e-07
       836653.39   2.2566059e-07
       828685.26   2.4067201e-07
       820717.13   2.5682751e-07
       812749.00   2.7424262e-07
       804780.88   2.9302880e-07
       796812.75   3.1330846e-07
       788844.62   3.3521558e-07
       780876.49   3.5889726e-07
       772908.37   3.8451573e-07
       764940.24   4.1224576e-07
       756972.11   4.4228140e-07
       749003.98   4.7484017e-07
       741035.86   5.1013284e-07
       733067.73   5.4842548e-07
       725099.60   5.9002748e-07
       717131.47   6.3532654e-07
       709163.35   6.8472752e-07
       701195.22   7.3865660e-07
       693227.09   7.9763230e-07
       685258.96   8.6221936e-07
       677290.84   9.3296281e-07
       669322.71   1.0104010e-06
       661354.58   1.0951056e-06
       653386.45   1.1877855e-06
       645418.33   1.2891965e-06
       637450.20   1.4000684e-06
       629482.07   1.5212982e-06
       621513.94   1.6538829e-06
       613545.82   1.7987801e-06
       605577.69   1.9569592e-06
       597609.56   2.1295284e-06
       589641.43   2.3162216e-06
       581673.31   2.5183256e-06
