	8.79e3		7.89e5		5.216e-14
	5.86e3		6.47e5		5.619e-14
	3.9e3		5.06e5		6.390e-14
	2.6e3		3.35e5		9.569e-14
	2.13e3		2.30e5		1.093e-13
	1.97e3		1.53e5		1.225e-13
	1.91e3		1.02e5		1.433e-13
	1.89e3		6.80e4		1.530e-13
	1.8800e3	4.53e4		1.628e-13
	1.8775e3	3.02e4		1.802e-13	
	1.8750e3	2.01e4		2.122e-13
	1.8725e3	1.34e4		2.417e-13
	1.850e3		8.94e3		3.337e-13
	1785.0		6630.0		6.082e-13
	1605.0		6440.0		1.493e-12
	1515.0		6370.0		2.450e-12
	1380.0		6280.0		5.315e-12
	1280.0		6220.0		9.822e-12
	1180.0		6150.0		1.839e-11
	1065.0		6040.0		4.000e-11
	980.0		5925.0		7.359e-11
	905.0		5755.0		1.297e-10
	855.0		5650.0		1.902e-10
	755.0		5280.0		4.358e-10
	705.0		5030.0		6.846e-10
	655.0		4730.0		1.121e-09
	605.0		4420.0		1.899e-09
	555.0		4230.0		3.232e-09
	515.0		4170.0		4.902e-09
	450.0		4220.0		9.327e-09
	350.0		4465.0		2.334e-08
	250.0		4780.0		5.413e-08
	150.0		5180.0		1.150e-07
	100.0		5455.0		1.606e-07
	50.0		5840.0		2.152e-07
	0		6420.0		2.727e-07
	
